,Age,Gender,Country,Mental health issue inteferes with work,Do you work remotely?,mental health benefits by employer,Negative impacts from discussing mental health issues with employer,Comfortable discussing mental health issues with corworkers,Comfortable discussing mental health issues with direct supervisor(s),Bring up mental health issues in an interview,year,Diagonosed with a mental health condition,Mental health conditionn(s)
1912,45.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,No,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1914,22.0,Male,United States of America,Often,No,Yes,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1915,21.0,Male,United States of America,Sometimes,Sometimes,Don't know,Yes,No,No,Yes,2016,No,
1917,34.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,No,Yes,No,2016,No,
1918,25.0,Female,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,Yes,No,2016,No,
1919,27.0,Male,United States of America,Often,Sometimes,Yes,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder|Addictive Disorder"
1920,25.0,Female,United States of America,Sometimes,No,Yes,Yes,No,No,No,2016,Yes,
1923,36.0,Female,United States of America,Not applicable to me,Yes,No,Maybe,Yes,No,No,2016,No,
1925,34.0,Male,United States of America,Sometimes,No,No,No,Maybe,No,Yes,2016,No,
1926,34.0,Male,United States of America,Often,Sometimes,Yes,Yes,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
1927,25.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1928,33.0,Female,United States of America,Sometimes,Sometimes,,,,,No,2016,No,
1931,47.0,Female,United States of America,Sometimes,Sometimes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1932,37.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Yes,No,Maybe,2016,No,
1933,35.0,Queer/Non-binary,United States of America,Often,Sometimes,Don't know,Yes,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1934,30.0,Male,United States of America,Often,Yes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1935,42.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,No,Yes,No,2016,No,
1936,36.0,Female,United States of America,Often,Sometimes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder|Post-traumatic Stress Disorder|Substance Use Disorder"
1937,31.0,Male,United States of America,Not applicable to me,Yes,Yes,No,No,No,No,2016,No,
1938,28.0,Female,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,Yes,No,2016,Yes,"Autism - while not a ""mental illness"", still greatly affects how I handle anxiety"
1939,36.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Yes,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1940,36.0,Female,United States of America,Often,No,Yes,Yes,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1942,42.0,Male,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
1943,41.0,Female,United States of America,Sometimes,No,Yes,Maybe,No,No,No,2016,No,
1945,23.0,Male,United States of America,Often,Sometimes,Yes,Yes,Maybe,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1946,54.0,Female,United States of America,Often,No,Yes,No,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1947,34.0,Female,United States of America,Not applicable to me,No,Don't know,Maybe,Yes,Yes,Maybe,2016,No,
1949,27.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,Maybe,No,No,2016,No,
1950,32.0,Male,United States of America,Never,Yes,Yes,Maybe,Maybe,No,No,2016,Yes,Obsessive-Compulsive Disorder|Substance Use Disorder
1952,44.0,Male,United States of America,Not applicable to me,Yes,Don't know,No,Yes,Yes,Yes,2016,No,
1953,33.0,Male,United States of America,Sometimes,Yes,Don't know,No,Maybe,I don't know,No,2016,No,
1956,38.0,Female,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
1958,33.0,Female,United States of America,Often,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1960,55.0,Female,United States of America,Sometimes,Sometimes,,,,,No,2016,No,
1961,66.0,Male,United States of America,Sometimes,Sometimes,No,Maybe,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1962,25.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,No,No,No,2016,No,
1967,44.0,Male,United States of America,Sometimes,Sometimes,Don't know,Yes,No,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder"
1969,32.0,Male,United States of America,Not applicable to me,Yes,Don't know,Maybe,No,No,No,2016,No,
1970,59.0,Female,United States of America,Not applicable to me,No,Yes,Yes,Maybe,Yes,No,2016,No,
1973,32.0,Male,United States of America,Sometimes,Yes,Yes,No,Yes,I don't know,Yes,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Disorder"
1975,38.0,Female,United States of America,Sometimes,Yes,No,No,Yes,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Post-traumatic Stress Disorder"
1976,46.0,Male,United States of America,Often,Sometimes,,,,,No,2016,Yes,Stress Response Syndromes
1978,29.0,Female,United States of America,Often,Yes,Yes,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1979,42.0,Male,United States of America,Not applicable to me,Yes,,,,,Yes,2016,No,
1980,25.0,Female,United States of America,Not applicable to me,No,Don't know,No,Yes,Yes,No,2016,No,
1982,36.0,Male,United States of America,Sometimes,Yes,No,Yes,No,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1984,28.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,Maybe,No,No,2016,No,
1985,37.0,Male,United States of America,Often,Sometimes,Don't know,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1986,23.0,Female,United States of America,Often,Sometimes,No,Yes,No,No,No,2016,Yes,Attention Deficit Hyperactivity Disorder
1989,32.0,Male,United States of America,Often,No,Yes,No,Maybe,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1992,29.0,Male,United States of America,Often,No,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1993,35.0,Male,United States of America,Often,Yes,Don't know,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1994,31.0,Female,United States of America,Often,Sometimes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1995,46.0,Female,United States of America,Often,No,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1996,19.0,Male,United States of America,Sometimes,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1999,31.0,Male,United States of America,Not applicable to me,Sometimes,,,,,Maybe,2016,No,
2001,34.0,Female,United States of America,Often,Sometimes,Don't know,No,Yes,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2002,39.0,Female,United States of America,Sometimes,Sometimes,Yes,No,Maybe,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2003,29.0,Female,United States of America,Sometimes,Yes,,,,,Maybe,2016,No,
2004,29.0,Female,United States of America,Often,Yes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2005,63.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Yes,No,Maybe,2016,No,
2009,44.0,Male,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
2012,55.0,Female,United States of America,Often,Sometimes,,,,,No,2016,No,
2013,33.0,Female,United States of America,Often,Sometimes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2015,40.0,Male,United States of America,Often,Yes,Yes,Maybe,No,No,No,2016,No,
2016,49.0,Female,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,Yes,Maybe,2016,Yes,"Substance Use Disorder|Mood Disorder (Depression, Bipolar Disorder, etc)"
2018,39.0,Male,United States of America,Often,No,Yes,Maybe,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
2020,35.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,Maybe,No,Maybe,2016,No,
2021,42.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2023,31.0,Female,United States of America,Often,Sometimes,Don't know,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2025,39.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,No,No,Maybe,2016,No,
2028,31.0,Male,United States of America,Not applicable to me,Sometimes,,,,,No,2016,No,
2029,47.0,Female,United States of America,Sometimes,Sometimes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2030,29.0,Male,United States of America,Not applicable to me,Sometimes,No,Maybe,No,No,No,2016,No,
2031,20.0,Male,United States of America,Often,Yes,Yes,No,Yes,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2032,34.0,Male,United States of America,Not applicable to me,No,No,Yes,Maybe,No,No,2016,No,
2034,56.0,Female,United States of America,Often,Yes,,,,,No,2016,No,
2036,31.0,Male,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2037,36.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Yes,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Addictive Disorder"
2038,30.0,Male,United States of America,Not applicable to me,Yes,Yes,Maybe,No,No,Yes,2016,No,
2039,44.0,Female,United States of America,Sometimes,No,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2040,23.0,Female,United States of America,Often,Sometimes,Don't know,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2041,46.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,No,No,No,2016,No,
2042,33.0,Female,United States of America,Sometimes,Yes,Yes,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2043,32.0,Female,United States of America,Sometimes,No,Yes,Yes,Maybe,No,No,2016,Yes,Post-traumatic Stress Disorder
2045,26.0,Male,United States of America,Often,Sometimes,No,No,Yes,No,Maybe,2016,No,
2046,32.0,Female,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
2047,28.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,No,No,2016,No,
2048,44.0,Male,United States of America,Not applicable to me,Sometimes,,,,,Maybe,2016,No,
2050,30.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Yes,I don't know,No,2016,No,
2051,28.0,Female,United States of America,Often,Sometimes,Don't know,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2053,29.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,No,No,No,2016,No,
2054,33.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,No,No,No,2016,No,
2055,43.0,Female,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,I don't know,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2057,42.0,Queer/Non-binary,United States of America,Often,Yes,,,,,No,2016,No,
2058,38.0,Male,United States of America,Often,Yes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2059,30.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2060,51.0,Female,United States of America,Often,Sometimes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2061,48.0,Female,United States of America,Not applicable to me,No,Don't know,Maybe,No,No,No,2016,No,
2064,37.0,Male,United States of America,Often,Yes,Yes,Maybe,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes"
2065,33.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Yes,I don't know,No,2016,No,
2067,25.0,Male,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2069,40.0,Male,United States of America,Often,Yes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
2077,26.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,Yes,No,No,2016,No,
2085,28.0,Male,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,I don't know,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2086,39.0,Male,United States of America,Often,Sometimes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2087,33.0,Male,United States of America,Not applicable to me,Yes,Don't know,No,Yes,I don't know,Maybe,2016,No,
2089,37.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,No,No,2016,No,
2091,30.0,Female,United States of America,Sometimes,Sometimes,Yes,No,No,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2092,42.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Maybe,Yes,Maybe,2016,No,
2093,52.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Maybe,No,Maybe,2016,No,
2094,30.0,Male,United States of America,Often,Yes,No,No,Maybe,No,Maybe,2016,No,
2095,35.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Maybe,No,Maybe,2016,No,
2096,24.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,No,No,2016,Yes,Attention Deficit Hyperactivity Disorder
2097,39.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,I don't know,No,2016,No,
2098,34.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Yes,Maybe,No,Maybe,2016,No,
2099,32.0,Male,United States of America,Not applicable to me,Yes,,,,,Maybe,2016,No,
2102,39.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,No,No,No,2016,No,
2103,35.0,Male,United States of America,Sometimes,Yes,,,,,No,2016,Yes,Attention Deficit Hyperactivity Disorder
2104,34.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,No,Yes,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2106,26.0,Female,United States of America,Often,Yes,Yes,Yes,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Dissociative Disorder"
2108,27.0,Female,United States of America,Often,Sometimes,Don't know,Yes,No,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2109,25.0,Male,United States of America,Sometimes,No,Yes,No,Maybe,Yes,No,2016,No,
2110,37.0,Male,United States of America,Not applicable to me,Sometimes,,,,,Maybe,2016,No,
2112,34.0,Male,United States of America,Often,Sometimes,No,Yes,No,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2114,33.0,Male,United States of America,Often,Sometimes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2115,50.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Yes,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2116,54.0,Female,United States of America,Often,Sometimes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder"
2119,36.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,I don't know,Maybe,2016,No,
2121,31.0,Female,United States of America,Often,Sometimes,Don't know,Maybe,Maybe,No,No,2016,No,
2122,36.0,Male,United States of America,Rarely,No,No,No,Maybe,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2123,48.0,Male,United States of America,Often,Sometimes,Don't know,No,Yes,Yes,No,2016,No,
2124,31.0,Male,United States of America,Sometimes,No,Don't know,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2125,32.0,Male,United States of America,Not applicable to me,Yes,No,No,Yes,No,Maybe,2016,No,
2126,32.0,Male,United States of America,Not applicable to me,Yes,Don't know,Yes,No,No,No,2016,No,
2127,31.0,Male,United States of America,Often,Yes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2128,28.0,Female,United States of America,Often,Sometimes,No,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2130,33.0,Female,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2131,33.0,Male,United States of America,Not applicable to me,No,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2132,59.0,Male,United States of America,Often,Yes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2133,33.0,Male,United States of America,Often,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2134,37.0,Male,United States of America,Rarely,Yes,Don't know,Yes,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2136,39.0,Male,United States of America,Never,Yes,No,No,Maybe,No,No,2016,No,
2138,34.0,Female,United States of America,Not applicable to me,No,Yes,Maybe,Maybe,I don't know,No,2016,No,
2141,39.0,Male,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2142,46.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,No,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder"
2143,28.0,Male,United States of America,Sometimes,Sometimes,Don't know,No,Maybe,No,Yes,2016,No,
2145,65.0,Female,United States of America,Often,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2146,37.0,Male,United States of America,Never,Yes,,,,,Yes,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2147,41.0,Female,United States of America,Sometimes,Sometimes,,,,,Maybe,2016,No,
2148,38.0,Male,United States of America,Sometimes,Sometimes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2149,51.0,Male,United States of America,Often,Sometimes,Don't know,No,Yes,Yes,Yes,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
2150,29.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,No,Maybe,2016,No,
2158,35.0,Male,United States of America,Often,No,Yes,Yes,Maybe,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2159,29.0,Male,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
2160,63.0,Male,United States of America,Not applicable to me,Yes,,,,,No,2016,No,
2161,47.0,Female,United States of America,Often,Yes,,,,,No,2016,Yes,Post-traumatic Stress Disorder
2164,27.0,Male,United States of America,Sometimes,No,Don't know,Maybe,No,No,No,2016,No,
2165,40.0,Female,United States of America,Often,Yes,Don't know,No,No,No,No,2016,No,
2167,43.0,Female,United States of America,Sometimes,Yes,,,,,Maybe,2016,No,
2170,42.0,Male,United States of America,Not applicable to me,Sometimes,No,Maybe,No,No,No,2016,No,
2171,31.0,Male,United States of America,Sometimes,Sometimes,No,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2172,37.0,Female,United States of America,Sometimes,No,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2174,30.0,Female,United States of America,Sometimes,Yes,,,,,Maybe,2016,No,
2176,24.0,Male,United States of America,Often,No,Yes,Maybe,Maybe,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2188,28.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,No,No,No,2016,No,
2190,21.0,Queer/Non-binary,United States of America,Often,Yes,No,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2192,30.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Yes,No,I don't know,No,2016,No,
2193,25.0,Female,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Maybe,No,No,2016,No,
2195,30.0,Male,United States of America,Not applicable to me,No,Yes,No,Maybe,No,No,2016,No,
2198,32.0,Male,United States of America,Sometimes,No,Don't know,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2201,27.0,Male,United States of America,Sometimes,Yes,Yes,Maybe,No,No,No,2016,No,
2203,38.0,Male,United States of America,Rarely,Yes,Yes,Maybe,Maybe,No,Maybe,2016,No,
2204,38.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Maybe,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2208,40.0,Female,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
2209,39.0,Male,United States of America,Sometimes,Yes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2210,28.0,Male,United States of America,Sometimes,No,Don't know,Maybe,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2211,33.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,No,Maybe,2016,No,
2212,32.0,Male,United States of America,Sometimes,Yes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2213,32.0,Male,United States of America,Sometimes,No,Yes,Maybe,No,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
2214,27.0,Male,United States of America,Often,No,Yes,No,Maybe,Yes,Maybe,2016,Yes,Attention Deficit Hyperactivity Disorder
2218,35.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,No,I don't know,No,2016,No,
2219,39.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Maybe,Yes,No,2016,No,
2220,35.0,Male,United States of America,Not applicable to me,No,Yes,No,Maybe,No,No,2016,No,
2221,34.0,Male,United States of America,Rarely,Sometimes,Don't know,No,Yes,No,No,2016,No,
2222,44.0,Female,United States of America,Sometimes,Yes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2223,42.0,Male,United States of America,Often,Yes,Yes,No,Yes,No,No,2016,No,
2224,30.0,Male,United States of America,Not applicable to me,Yes,Yes,Maybe,No,No,No,2016,No,
2225,55.0,Male,United States of America,Sometimes,No,Yes,Yes,Maybe,No,No,2016,No,
2226,46.0,Male,United States of America,Sometimes,Sometimes,No,Maybe,No,No,No,2016,Yes,attention deficit disorder (but not the hyperactive version)
2227,33.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2228,30.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Yes,No,Yes,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Post-traumatic Stress Disorder|Substance Use Disorder"
2230,31.0,Female,United States of America,Often,No,Yes,Yes,No,No,No,2016,No,
2233,32.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2235,47.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
2237,35.0,Male,United States of America,Often,Sometimes,Don't know,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
2238,36.0,Male,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
2239,38.0,Female,United States of America,Not applicable to me,Yes,Yes,Maybe,No,Yes,Maybe,2016,No,
2240,30.0,Male,United States of America,Often,Sometimes,Don't know,Maybe,Maybe,Yes,No,2016,No,
